Note (area - do not include in apps),Category,Title,Latitude (WGS-84),Longtitude (WGS-84),Description (max 140)
Entrance East,Shuttlebus,Shuttlebus,55.61584956267233,12.064028978347778,Bus info in the INFO section of the app
Entrance west,Shuttlebus,Shuttlebus,55.6172946049866,12.09297001361847,Bus info in the INFO section of the app
left-Orange,Pharmacy,Pharmacy,55.62192019991123,12.07571268081665,Check out opening hours in INFO section
CCE,Pharmacy,Pharmacy,55.61432266764244,12.086559534072876,Check out opening hours in INFO section
Swimming Lake,Swimming Lake,Swimming Lake,55.61270482112765,12.081634998321533,"For swimming, chilling and loving life"
Fishing Lake,Fishing Lake,Fishing Lake,55.61274117796226,12.07923173904419,Bring your own gear or rent it
G,Festival Radio,Festival Radio,55.61701,12.077016,"92,3 MHz, stream via roskilde-festival.dk or get the app"
CCW,First Aid,First Aid,55.618318523065156,12.070584297180176,First aid station
CCE (det rigtige),First Aid,First Aid,55.61427722342681,12.086607813835144,First aid station
Orange,First Aid,First Aid,55.622006527044725,12.075693905353546,First aid station
B,First Aid,First Aid,55.62258657987081,12.068073749542236,First aid booth: Open around the clock - the whole festival
K - swim,First Aid,First Aid,55.61306535824733,12.0829439163208,First aid booth: Open daily from 10.00 to 02.00
M,First Aid,First Aid,55.619075841717695,12.089660167694092,First aid booth: Open daily from 10.00 to 02.00
C,Luggage Storage,Luggage Storage,55.621552171577676,12.066029906272888,Stores your stuff for free. Open around the clock
CCW - E,Luggage Storage,Luggage Storage,55.61703029043007,12.072460502386093,Stores your stuff for free. Exchange your cooling elements here. Open around the clock. 
G,Luggage Storage,Luggage Storage,55.617068915304515,12.076522707939148,Stores your stuff for free. Open around the clock
J,Luggage Storage,Luggage Storage,55.61186405992396,12.078534364700317,Stores your stuff for free. Open around the clock
K - swim,Luggage Storage,Luggage Storage,55.61397123100359,12.081286311149597,Stores your stuff for free. Open around the clock
CCE - P,Luggage Storage,Luggage Storage,55.613419832687775,12.087546586990356,Stores your stuff for free. Exchange your cooling elements here. Open around the clock. 
L,Luggage Storage,Luggage Storage,55.617468794121365,12.08396315574646,Stores your stuff for free. Open around the clock
M,Luggage Storage,Luggage Storage,55.61906675398058,12.089182734489441,Stores your stuff for free. Open around the clock
Gate 10 (info),Luggage Storage,Luggage Storage,55.6187577696655,12.07449495792389,Stores your SMALL stuff for free. Open around the clock
H-DC,Luggage Storage,Luggage Storage,55.614901,12.081844,Stores your stuff for free. Open around the clock
Caravan,Luggage Storage,Luggage Storage,55.617346,12.0982,Stores your stuff for free. Open around the clock
GAT - UP,Luggage Storage,Luggage Storage,55.624481,12.078057,Stores your stuff for free. Open around the clock
C,Mobile Charging Station,Mobile Charging Station,55.62145524172979,12.066016495227814,"Charge your mobile, camera etc. (remember a charger)"
CCW - E,Mobile Charging Station,Mobile Charging Station,55.61703029043007,12.072606682777405,"Charge your mobile, camera etc. (remember a charger). This Luggage Storage also charges car batteries (no charger needed)"
G,Mobile Charging Station,Mobile Charging Station,55.61707951820457,12.076334953308105,"Charge your mobile, camera etc. (remember a charger). This Luggage Storage also charges car batteries (no charger needed)"
J,Mobile Charging Station,Mobile Charging Station,55.6118125532462,12.078432440757751,"Charge your mobile, camera etc. (remember a charger)"
K - swim,Mobile Charging Station,Mobile Charging Station,55.61388791582131,12.081334590911865,"Charge your mobile, camera etc. (remember a charger)"
CCE - P,Mobile Charging Station,Mobile Charging Station,55.613354694462544,12.087648510932922,"Charge your mobile, camera etc. (remember a charger). This Luggage Storage also charges car batteries (no charger needed)"
L,Mobile Charging Station,Mobile Charging Station,55.61748697033432,12.083702981472015,"Charge your mobile, camera etc. (remember a charger). This Luggage Storage also charges car batteries (no charger needed)"
M,Mobile Charging Station,Mobile Charging Station,55.61899253738203,12.08920419216156,"Charge your mobile, camera etc. (remember a charger)"
H-DC,Mobile Charging Station,Mobile Charging Station,55.614974,12.081812,"Charge your mobile, camera etc. (remember a charger)"
Caravan,Mobile Charging Station,Mobile Charging Station,55.617334,12.098351,"Charge your mobile, camera etc. (remember a charger)"
GAT - UP,Mobile Charging Station,Mobile Charging Station,55.62466,12.078065,"Charge your mobile, camera etc. (remember a charger)"
G,Mobile Charging Station,Volt,55.617948946251154,12.076056003570557,Get a battery for your smartphone (getvolt.dk)
CCW,Mobile Charging Station,Volt,55.617496058437624,12.07123875617981,Get a battery for your smartphone (getvolt.dk)
CCE,Mobile Charging Station,Volt,55.613705379212185,12.087661921977997,Get a battery for your smartphone (getvolt.dk)
Apollo,Mobile Charging Station,3,55.618574,12.075546,Charge your mobile for free at 3
Gate 10,Information,Information,55.61888954268594,12.074403762817383,Answers all kinds of practical questions about the festival. Open around the clock
Gate 10,Internet Café,Internet Café,55.618612,12.075141,
CCW,Cash dispenser,Cash Dispenser,55.61755210169484,12.070949077606201,
CCE,Cash dispenser,Cash Dispenser,55.61377733357863,12.088319063186646,
Pavilion,Cash dispenser,Cash Dispenser,55.619378765082466,12.074393033981323,
Handicap Camping,Handicap Camping,Handicap Camping,55.623195398930704,12.080873250961304,
8 street,Handicap Toilets,Handicap Toilets,55.62032387093643,12.079116404056549,
